Reads,EC1,EC2,EC3,Sp1,Sp2,Sp3,Ve1,Ve2,Ve3
LOC_Os01g03680.1,41,20,19,1,0,0,0,0,0
LOC_Os01g03690.1,35,23,22,0,0,0,0,1,0
LOC_Os01g03710.1,216,170,160,9,13,1,0,2,0
LOC_Os01g03730.1,13,5,9,0,0,0,0,0,0
LOC_Os01g03740.1,16,12,6,0,2,0,0,0,1
LOC_Os01g03750.1,89,99,58,1,1,2,1,0,0
LOC_Os01g03760.2,935,984,782,30,14,1,19,29,9
LOC_Os01g03800.1,0,0,0,8,0,1,0,0,0
LOC_Os01g03810.1,10,4,6,221,145,67,11,7,9
LOC_Os01g03820.1,66,54,46,1515,1044,587,85,67,75
LOC_Os01g03840.1,2,4,0,0,0,0,0,0,0
LOC_Os01g03870.1,33,46,25,0,0,0,0,0,1
LOC_Os01g03890.1,13,8,0,0,0,0,0,0,0
LOC_Os01g03900.1,0,3,0,31,28,9,2,0,1
LOC_Os01g03914.3,12,11,9,2253,2131,1096,100,81,72
LOC_Os01g03940.1,0,2,1,0,0,0,0,0,0
LOC_Os01g03950.1,89,84,90,0,0,0,2,0,0
LOC_Os01g03980.1,251,306,138,3,13,5,1,2,1
LOC_Os01g04005.1,0,0,0,5,1,6,0,0,3
LOC_Os01g04010.1,38,34,11,6,4,7,3,3,1
LOC_Os01g04020.2,2102,2150,2145,16,6,9,61,58,70
LOC_Os01g04030.1,60,55,38,103,53,29,5,7,10
LOC_Os01g04040.1,0,1,0,3,5,1,0,0,1
LOC_Os01g04050.1,16,22,30,3,3,5,0,1,2
LOC_Os01g04070.1,4,7,31,11,4,3,0,1,0
LOC_Os01g04080.1,8,11,17,0,1,0,0,1,0
LOC_Os01g04090.1,1,6,5,3838,3823,1653,106,141,170
LOC_Os01g04100.1,38,26,29,292,194,83,78,76,89
LOC_Os01g04110.1,50,39,13,4,2,6,6,1,2
LOC_Os01g04120.1,8,11,4,35,31,30,0,0,1
LOC_Os01g04160.1,232,189,101,0,0,0,0,0,0
LOC_Os01g04170.1,5,8,2,0,0,0,0,0,0
LOC_Os01g04190.4,197,191,245,123,64,55,50,74,51
LOC_Os01g04200.3,62,55,58,11,9,4,2,7,1
LOC_Os01g04210.1,0,1,0,21,0,10,3,0,0
LOC_Os01g04220.1,0,0,2,0,1,0,0,0,0
LOC_Os01g04230.1,12,14,11,0,0,0,0,0,0
LOC_Os01g04250.1,22,19,15,0,0,0,0,0,0
LOC_Os01g04260.1,209,128,104,84,43,20,0,1,0
LOC_Os01g04280.1,110,56,30,0,6,0,0,1,1
LOC_Os01g04290.1,53,28,5,0,0,0,0,0,0
LOC_Os01g04300.1,0,0,0,2,7,12,0,0,1
LOC_Os01g04320.1,0,0,0,12,7,1,0,0,0
LOC_Os01g04324.1,9,8,1,3,1,0,0,0,0
LOC_Os01g04330.1,157,166,40,0,0,0,0,0,1
LOC_Os01g04350.1,48,136,39,2,2,0,0,0,0
LOC_Os01g04360.1,2,1,0,0,0,0,0,0,0
LOC_Os01g04370.1,10,5,6,0,0,1,0,0,0
LOC_Os01g04409.1,43,32,18,192,135,52,24,22,17
LOC_Os01g04430.1,23,13,22,1,2,2,3,0,2
LOC_Os01g04440.1,0,1,0,1,3,1,0,0,0
LOC_Os01g04450.1,26,10,20,159,94,50,22,20,35
LOC_Os01g04460.1,7,12,4,37,19,20,2,2,1
LOC_Os01g04470.1,0,1,1,0,0,0,1,0,0
LOC_Os01g04480.1,10,13,9,16,3,15,0,0,0
LOC_Os01g04490.1,13,1,10,131,68,38,7,31,11
LOC_Os01g04500.1,26,18,18,151,92,40,15,25,37
LOC_Os01g04520.1,14,9,0,103,85,21,3,4,8
LOC_Os01g04530.1,1,0,0,0,0,2,1,0,0
LOC_Os01g04540.1,2,0,1,3,1,6,0,0,0
LOC_Os01g04550.1,16,14,7,4,1,1,1,1,1
LOC_Os01g04560.1,0,0,0,0,0,0,0,1,0
LOC_Os01g04570.1,21,24,8,56,32,15,2,2,1
LOC_Os01g04580.1,0,3,3,0,0,0,0,0,0
LOC_Os01g04590.1,4,2,5,2,0,0,9,9,3
LOC_Os01g04600.2,29,53,36,0,0,0,1,1,1
LOC_Os01g04620.1,5,1,5,0,0,0,0,0,0
LOC_Os01g04630.1,4,11,0,4,2,0,0,0,1
LOC_Os01g04640.1,0,0,0,0,3,0,0,0,0
LOC_Os01g04650.1,739,746,577,10,23,5,3,3,3
LOC_Os01g04660.2,15,12,4,0,0,0,0,0,0
LOC_Os01g04670.1,5,2,3,0,0,0,0,0,0
LOC_Os01g04699.1,0,0,0,0,0,0,0,0,4
LOC_Os01g04710.1,63,44,65,0,0,0,0,0,0
LOC_Os01g04720.2,114,120,112,2,1,0,0,0,1
LOC_Os01g04730.1,1440,1658,641,8,3,6,15,8,10
LOC_Os01g04780.1,0,0,0,0,2,0,2,0,0
